HEX,COLOR,ACCIDENT_COUNT,BRIGHTNESS,LIGHT_CONDITION,SEVERITY,CLUSTERS
#000000,black,42028,0.0,1.8463405348815076,2.6171599885790426,0
#FFFF00,yellow,4492,0.5,1.9363312555654497,2.616206589492431,0
#800080,purple,1243,0.25,1.8817377312952535,2.6154465004022525,0
#800000,maroon,2953,0.25,1.8327124957670167,2.602438198442262,0
#008000,green,10929,0.25,1.8387775642785251,2.5938329215847746,0
